"t","a_x","a_y","a_z","a_abs"
5.215833080E-4,-9.909393311E-2,4.504133606E0,8.734187164E0,9.827668318E0
1.060058334E-2,-1.448986816E-1,4.609215088E0,8.672665100E0,9.822473176E0
2.067858336E-2,-2.219883728E-1,4.704716492E0,8.383017426E0,9.615540404E0
3.075758333E-2,-3.236270142E-1,4.735252991E0,8.205785980E0,9.479571661E0
4.083558335E-2,-3.992198181E-1,4.764442291E0,8.327033844E0,9.602019551E0
5.091458332E-2,-4.712200928E-1,4.721182251E0,8.566984863E0,9.793101647E0
6.099358335E-2,-4.349954224E-1,4.624633026E0,8.723409576E0,9.883032241E0
7.107158331E-2,-3.707789612E-1,4.583169250E0,8.754245453E0,9.888363407E0
8.115058334E-2,-3.603007507E-1,4.571194153E0,8.742719421E0,9.872222419E0
9.122958331E-2,-3.180885315E-1,4.562063141E0,8.732390900E0,9.857395764E0
1.013075833E-1,-2.716850281E-1,4.534969482E0,8.720715179E0,9.833139590E0
1.113865833E-1,-2.664459229E-1,4.550836487E0,8.763077087E0,9.877885715E0
1.214645833E-1,-2.484832764E-1,4.595743103E0,8.793014832E0,9.924701932E0
1.315435834E-1,-2.477348328E-1,4.577630768E0,8.750203857E0,9.878367453E0
1.416225833E-1,-2.341131592E-1,4.574187927E0,8.737929382E0,9.865567092E0
1.517005833E-1,-2.192939758E-1,4.572541351E0,8.712931366E0,9.842326821E0
1.617795833E-1,-2.838098145E-1,4.573289795E0,8.741072845E0,9.869239183E0
1.718585833E-1,-3.457809448E-1,4.571194153E0,8.703500977E0,9.836986820E0
1.819365833E-1,-3.267704773E-1,4.568200378E0,8.603957977E0,9.746964990E0
1.920155833E-1,-1.872605896E-1,4.580624542E0,8.443192291E0,9.607532659E0
2.020945833E-1,3.472778320E-2,4.512216797E0,8.466244354E0,9.593674995E0
2.121725833E-1,4.879852295E-2,4.365821228E0,8.597970428E0,9.643021922E0
2.222515834E-1,-4.565505981E-2,4.374503174E0,8.881480865E0,9.900457806E0
2.323295833E-1,-7.484436035E-2,4.378095703E0,9.128018188E0,1.012393400E1
2.424085833E-1,9.041198730E-2,4.328099670E0,9.277257843E0,1.023758439E1
2.524875833E-1,2.392025757E-1,4.238885193E0,9.274862823E0,1.020041401E1
2.625655833E-1,3.052153015E-1,4.215683441E0,9.150770874E0,1.007976938E1
2.726445833E-1,2.713856506E-1,4.234244843E0,8.794362030E0,9.764388515E0
2.827235833E-1,8.023315430E-2,4.212090912E0,8.468339996E0,9.458378799E0
2.928015833E-1,-1.501377869E-1,4.216282196E0,8.285270691E0,9.297595782E0
3.028805833E-1,-1.411564636E-1,4.198768616E0,8.317304077E0,9.318107648E0
3.129595833E-1,1.571731567E-1,4.127965851E0,8.260272675E0,9.235632633E0
3.230375833E-1,6.605763245E-1,4.137695618E0,8.008346558E0,9.038279742E0
3.331165834E-1,1.194216614E0,4.129762115E0,7.789351959E0,8.896914768E0
3.431945833E-1,1.673968964E0,4.205953674E0,7.804021454E0,9.021916052E0
3.532735833E-1,1.732497253E0,4.123175812E0,8.138725433E0,9.286602026E0
3.633525833E-1,1.616189117E0,3.969445496E0,9.213340759E0,1.016140801E1
3.734305833E-1,1.567839661E0,4.656067657E0,8.538244629E0,9.850822736E0
3.835095833E-1,1.362616425E0,4.571493530E0,8.224946136E0,9.508155214E0
3.935875833E-1,1.162183228E0,4.713548126E0,8.345295868E0,9.654644940E0
