"t","a_x","a_y","a_z","a_abs"
6.775000365E-4,-1.012195129E0,2.351310425E0,8.780740356E0,9.146288914E0
1.075750001E-2,-1.301244049E0,2.350711670E0,8.376281433E0,8.796656869E0
2.083749999E-2,-1.433868256E0,2.303410034E0,8.327782288E0,8.758631959E0
3.091750003E-2,-1.514101410E0,2.177821198E0,8.566236420E0,8.967486529E0
4.099750001E-2,-1.430425415E0,2.036664734E0,9.164392548E0,9.496326178E0
5.107749999E-2,-1.061143341E0,1.934876404E0,1.002345612E1,1.026350059E1
6.115750002E-2,-8.385562134E-1,1.696272583E0,1.076830719E1,1.093329579E1
7.123750000E-2,-3.703298950E-1,1.321601715E0,1.093625793E1,1.102204668E1
8.131650003E-2,1.151106262E-1,1.161135406E0,1.097173416E1,1.103360487E1
9.139650001E-2,-1.169068909E-1,1.169817352E0,1.082773361E1,1.089137067E1
1.014765000E-1,-6.635700989E-1,1.453776855E0,1.042761566E1,1.054935831E1
1.115565000E-1,-1.200952606E0,1.747765503E0,9.972561951E0,1.019553644E1
1.216365000E-1,-1.268611908E0,1.913919983E0,9.588610382E0,9.859711706E0
1.317165000E-1,-8.416996765E-1,2.172282715E0,9.354048157E0,9.639786691E0
1.417965000E-1,-5.824388123E-1,2.604134674E0,9.340426483E0,9.714129877E0
1.518765000E-1,-9.635462952E-1,2.594853973E0,9.192833405E0,9.600514289E0
1.619565000E-1,2.207908630E-1,2.199975128E0,8.383017426E0,8.669695515E0
1.720371250E-1,1.051862640E0,1.585502930E0,8.185428314E0,8.403658206E0
1.821171250E-1,1.237925720E0,7.851173401E-1,8.465346222E0,8.591330280E0
1.921971250E-1,9.511221313E-1,-9.565109253E-2,8.700656891E0,8.753011640E0
2.022771250E-1,5.152285767E-1,-2.728825378E-1,8.779542847E0,8.798880495E0
2.123571250E-1,4.805007935E-2,-1.477427673E-1,9.146429901E0,9.147749268E0
2.224371250E-1,-2.673440552E-1,1.094224548E-1,9.638157349E0,9.642485322E0
2.325171250E-1,-4.879852295E-1,5.177732849E-1,1.009171417E1,1.011676399E1
2.425971250E-1,-4.128414917E-1,7.743397522E-1,1.041324554E1,1.045015421E1
2.526771250E-1,-1.032852173E-2,8.446934509E-1,1.072938812E1,1.076259184E1
2.627571250E-1,1.627116394E-1,7.246430969E-1,1.071786209E1,1.074356321E1
2.728371250E-1,2.794688416E-1,4.144880676E-1,1.061083466E1,1.062260398E1
2.829171250E-1,2.290237427E-1,-2.317181396E-1,1.041294617E1,1.041804171E1
2.929971250E-1,1.086740112E-1,-9.487271118E-1,9.926308136E0,9.972135498E0
3.030771250E-1,1.368154907E-1,-1.571132813E0,9.311386871E0,9.443998214E0
3.131561250E-1,1.610650635E-1,-1.936822357E0,8.843908997E0,9.054940593E0
3.232361250E-1,1.746867371E-1,-2.287543030E0,8.861123199E0,9.153298472E0
3.333161250E-1,-1.122665405E-2,-2.586920471E0,9.230105896E0,9.585777924E0
3.433961250E-1,-3.718267822E-1,-2.930306396E0,9.883048096E0,1.031501771E1
3.534761250E-1,-8.912466431E-1,-3.349135437E0,1.039333694E1,1.095593363E1
3.635561250E-1,-1.607207794E0,-3.393443298E0,1.013572266E1,1.080885970E1
3.736361250E-1,-2.042502594E0,-3.289409637E0,9.551786957E0,1.030672919E1
