"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.843749953E-3,-2.684966583E0,4.374353485E0,7.987390137E0,9.494335952E0
8.236250025E-3,-3.104693756E0,4.278702393E0,6.770570526E0,8.589938459E0
1.831725001E-2,-3.196452942E0,3.997437286E0,6.079008636E0,7.946770556E0
2.839725005E-2,-2.879412231E0,3.590882721E0,5.973328400E0,7.540961854E0
3.847725003E-2,-2.567011871E0,3.401975555E0,6.287225647E0,7.595537767E0
4.855825001E-2,-2.001487885E0,3.275189209E0,7.074288940E0,8.048501856E0
5.863825005E-2,-1.443298645E0,3.267555084E0,8.528963928E0,9.246796899E0
6.871825003E-2,-6.837780762E-1,3.369792480E0,1.012195129E1,1.069003984E1
7.879925001E-2,1.231938171E-1,3.372187500E0,1.102831650E1,1.153302172E1
8.887925005E-2,6.252497864E-1,3.494932251E0,1.124925705E1,1.179623978E1
9.895925003E-2,8.412506104E-1,3.744613037E0,1.106708588E1,1.171367659E1
1.090402500E-1,4.188290405E-1,3.914210358E0,1.070229446E1,1.140331387E1
1.191202500E-1,-6.563850403E-1,3.433859253E0,9.749376068E0,1.035724695E1
1.292012500E-1,-6.890171814E-1,2.409090271E0,7.966583405E0,8.351341913E0
1.392812500E-1,-5.942642212E-2,1.589694214E0,7.113058319E0,7.288776155E0
1.493612500E-1,-1.803749084E-1,1.633103943E0,7.613018646E0,7.788299975E0
1.594422500E-1,-8.491841125E-1,1.829345856E0,8.707392883E0,8.937914228E0
1.695222500E-1,-1.400487671E0,2.181563416E0,9.913135529E0,1.024650383E1
1.796022500E-1,-1.701362000E0,2.214345245E0,1.082668579E1,1.118101439E1
1.896832500E-1,-1.797013092E0,2.001637573E0,1.187256088E1,1.217347571E1
1.997632500E-1,-1.416953430E0,1.496288452E0,1.273656418E1,1.290219761E1
2.098442500E-1,-6.035449219E-1,8.422984314E-1,1.275632309E1,1.279834020E1
2.199242500E-1,9.250762939E-2,2.582130432E-1,1.207194626E1,1.207506183E1
2.300042500E-1,3.195854187E-1,-3.097059631E-1,1.080632812E1,1.081548798E1
2.400852500E-1,-7.723937988E-2,-2.966830444E-1,9.088500366E0,9.093669538E0
2.501652500E-1,-1.127904510E0,4.182302856E-1,7.973169708E0,8.063406250E0
2.602455000E-1,-2.397264862E0,1.147214355E0,7.958649902E0,8.390654794E0
2.703265000E-1,-2.985990601E0,1.099763031E0,8.308622131E0,8.897124272E0
2.804065000E-1,-2.495310974E0,1.586700439E-1,8.635093231E0,8.989804678E0
2.904875000E-1,-1.788929901E0,-8.722361755E-1,8.920100555E0,9.139434340E0
3.005675000E-1,-1.347348175E0,-1.462907867E0,8.802744598E0,9.024619604E0
3.106475000E-1,-1.052012329E0,-1.750609589E0,7.925419006E0,8.184352772E0
3.207285000E-1,-1.026265869E0,-1.946103058E0,7.102430420E0,7.435392163E0
3.308085000E-1,-1.450184326E0,-2.022893372E0,7.044500885E0,7.471286696E0
3.408885000E-1,-1.670675812E0,-2.190395050E0,7.666307831E0,8.146242318E0
3.509695000E-1,-1.781445465E0,-2.370171204E0,8.612789612E0,9.108864055E0
3.610495000E-1,-2.300565948E0,-2.612966309E0,8.881630554E0,9.539578498E0
3.711305000E-1,-2.131268005E0,-3.466641083E0,8.391399994E0,9.326065492E0
3.812105000E-1,-1.052012329E0,-4.375700684E0,8.913963318E0,9.985601056E0
3.912905000E-1,-1.674567719E0,-4.415068817E0,9.607471161E0,1.070516286E1
