"t","a_x","a_y","a_z","a_abs"
8.626666677E-4,7.454498291E-2,9.397457886E0,-2.595602417E-1,9.401337308E0
1.094166667E-2,3.085084534E-1,9.451794891E0,-6.721023560E-2,9.457067270E0
2.102166667E-2,3.746708679E-1,9.404792633E0,4.055067444E-1,9.420983943E0
3.110066667E-2,2.418969727E-1,9.290280762E0,8.376580811E-1,9.331103999E0
4.117966667E-2,-1.453477478E-1,9.056466980E0,1.149759064E0,9.130315768E0
5.125866667E-2,-4.730163574E-1,8.845854950E0,1.252295837E0,8.946571362E0
6.133866668E-2,-4.406835938E-1,8.787326660E0,1.217717743E0,8.882237802E0
7.141766668E-2,-6.047424316E-2,8.894503784E0,1.066232758E0,8.958387522E0
8.149666668E-2,2.664459229E-2,8.924441528E0,8.044271851E-1,8.960662343E0
9.157666669E-2,4.370910645E-1,8.772956543E0,4.062551880E-1,8.793227984E0
1.016556667E-1,3.372486877E-1,8.784781952E0,4.951702881E-1,8.805187348E0
1.117346667E-1,4.174818420E-1,8.717721405E0,1.292711792E0,8.822928163E0
1.218136667E-1,6.231541443E-1,9.057215424E0,1.436862030E0,9.191629062E0
1.318936667E-1,1.996847534E-1,9.270671539E0,1.452279968E0,9.385858613E0
1.419726667E-1,-2.389031982E-1,9.274862823E0,1.675465851E0,9.428008324E0
1.520516667E-1,-6.698570251E-1,9.414672089E0,1.750310211E0,9.599392939E0
1.621316667E-1,-1.079255676E0,9.508826294E0,2.026785278E0,9.782148479E0
1.722106667E-1,-1.530267792E0,9.561367035E0,1.965562592E0,9.880531129E0
1.822896667E-1,-1.909878387E0,9.995314636E0,1.367107086E0,1.026756699E1
1.923696667E-1,-2.047142944E0,1.094149704E1,1.450184326E0,1.122542588E1
2.024486667E-1,-1.385818176E0,1.224348953E1,1.814376984E0,1.245453700E1
2.125276667E-1,-7.505392456E-1,1.410786255E1,2.205962677E0,1.429899878E1
2.226066667E-1,3.353027344E-2,1.535521866E1,2.515818329E0,1.555998735E1
2.326866667E-1,3.731739807E-1,1.587703354E1,2.628833313E0,1.609752209E1
2.427656667E-1,-2.314187622E-1,1.591969482E1,2.588716736E0,1.613045853E1
2.528446667E-1,-9.508227539E-1,1.555490341E1,2.291285248E0,1.575147841E1
2.629246667E-1,-1.711391144E0,1.524998749E1,1.311572571E0,1.540166227E1
2.730036667E-1,-1.983225861E0,1.529654068E1,1.866618347E-1,1.542569882E1
2.830826667E-1,-1.802102509E0,1.587658447E1,-4.472698975E-1,1.598479147E1
2.931616667E-1,-1.294208679E0,1.625394974E1,-8.032296753E-1,1.632516573E1
3.032416667E-1,-4.996609497E-1,1.620889343E1,-2.041155396E0,1.634454657E1
3.133206667E-1,-3.405418396E-1,1.655647064E1,-2.354753265E0,1.672655230E1
3.233996667E-1,-3.652404785E-1,1.615380798E1,-4.366419983E-1,1.616383523E1
3.334796667E-1,-4.255650330E-1,1.563917816E1,-4.737648010E-1,1.565213890E1
3.435586667E-1,-4.050576782E-1,1.467907471E1,-6.646179199E-1,1.469969466E1
3.536376667E-1,-3.255729675E-1,1.375459717E1,-2.032772827E-1,1.375995140E1
3.637166667E-1,-2.769241333E-1,1.326227097E1,1.075962524E0,1.330872697E1
3.737966667E-1,-3.129991150E-1,1.260977783E1,2.708916779E0,1.290126721E1
3.838756667E-1,-7.614665222E-1,1.117426300E1,3.607348480E0,1.176677305E1
3.939546667E-1,-1.067130890E0,9.185947723E0,3.423381042E0,9.861031471E0
4.040346667E-1,-8.937913513E-1,7.304809570E0,2.659968567E0,7.825250067E0
4.141136667E-1,-3.802093506E-1,5.740263062E0,1.938468933E0,6.070654081E0
4.241926667E-1,-7.514373779E-2,4.424648895E0,1.511856079E0,4.676416709E0
4.342716667E-1,-9.131011963E-2,3.474574585E0,9.548643494E-1,3.604548794E0
4.443516667E-1,-1.722917175E-1,2.791694641E0,9.937834167E-1,2.968307411E0
4.544306667E-1,-9.595046997E-2,2.139500885E0,1.536105652E0,2.635581739E0
4.645096667E-1,8.262817383E-2,1.551673279E0,1.468895416E0,2.138263577E0
4.745896667E-1,1.689985657E-1,9.455836487E-1,5.715115356E-1,1.117727331E0
4.846686667E-1,1.781295776E-2,3.359014893E-1,-6.069877625E-1,6.939605578E-1
4.947476667E-1,5.179229736E-2,7.664062500E-2,-1.300046539E0,1.303333124E0
5.048266667E-1,2.083666992E-1,-1.886077881E-1,-1.611698456E0,1.636020016E0
5.149066667E-1,7.559280396E-2,1.332229614E-1,-1.152752838E0,1.162885091E0
